Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2020-11-03,316.0125732421875,318.1003282072314,310.61451625043287,313.8119713114063,93294200
2020-11-04,323.07513427734375,327.2130180276153,319.36042655061067,320.5547615943241,126959700
2020-11-05,329.3760681152344,331.20991739412125,328.07827061936183,328.4356384747047,82039700
2020-11-06,329.3008117675781,330.57039738880707,326.9403244340149,329.0845026411183,74973000
2020-11-09,333.43878173828125,342.67380910006756,332.9685668465362,342.2882294448799,172304200
2020-11-10,332.9497375488281,334.02181247826735,329.630021870521,332.4324839963376,85552000
2020-11-11,335.4230041503906,336.2599714859682,333.90889772364903,335.16906981629637,58649000
2020-11-12,332.1690368652344,335.4699530098545,330.33521688459865,334.3978497937939,67546200
2020-11-13,336.7678527832031,337.5201849996203,333.5797825944305,334.10642088584945,62892200
2020-11-16,340.9715881347656,341.1690703271321,338.1690974208585,339.47630842186254,74541100
2020-11-17,339.13775634765625,340.360332186543,336.9935777636738,338.5264827780314,66111000
2020-11-18,335.0562438964844,339.965287368294,335.01861867802916,339.41043736951883,70591300
2020-11-19,336.4668884277344,336.8430545135954,333.05312451677065,334.4167588651038,59940900
2020-11-20,334.162841796875,336.4104823480211,334.08762005566564,336.2035866851526,70417300
2020-11-23,336.1659240722656,337.4449231276328,333.7302150892081,335.99665364864717,63230600
2020-11-24,341.5827941894531,342.13764413433756,337.88691325000633,338.7520922930149,62415900
2020-11-25,341.0562438964844,341.526458753999,339.94654372066276,341.49824701053365,45330900
2020-11-27,342.0060119628906,342.4856114964469,340.9809185430137,342.16586890753234,28514100
2020-11-30,340.49188232421875,341.48873523925596,337.7740561538637,341.2160026644993,83872700
2020-12-01,344.21600341796875,345.7771198689316,343.1909386826247,343.79282735271556,74231400
2020-12-02,344.940185546875,345.100042509178,342.5044762948649,343.08753806257556,45927000
2020-12-03,344.8461608886719,346.2568054055364,343.72704727598847,344.8367474080092,62882000
2020-12-04,347.8179016113281,347.8179016113281,345.3445671122843,345.43861581445844,50749900
2020-12-07,347.1031799316406,347.60160650369386,345.81479588876545,347.03734296749656,48944300
2020-12-08,348.118896484375,348.69254486148486,345.76782208709443,345.8148320951846,42458900
2020-12-09,344.9966125488281,348.94639974119787,344.1502316290085,348.78654277726326,74098300
2020-12-10,344.8837890625,345.9464504999356,342.7207835650194,343.60478976578895,57735400
2020-12-11,344.4793701171875,344.89316146012175,341.62048463826864,343.1627743440492,57698600
2020-12-14,342.9370422363281,347.77083518668377,342.758358326332,346.67996216725686,69216200
2020-12-15,347.57330322265625,347.57330322265625,344.1219433495727,345.5137605127141,63865300
2020-12-16,348.118896484375,349.0499127618137,346.89632057800594,347.789740328828,58420500
2020-12-17,350.0655212402344,350.27241690974705,348.94640766872976,349.7834038270967,64119500
2020-12-18,348.6676940917969,350.5282385324698,346.6277040841073,350.3582465706541,136542300
2020-12-21,347.42108154296875,357.4321339310831,341.9150185815902,344.69166966788913,96386700
2020-12-22,346.8355407714844,347.8649751450393,345.6927784040661,347.7516471511759,47949000
2020-12-23,347.1471862792969,349.08327322887294,346.81662711615803,347.8177293894569,46201400
2020-12-24,348.4976806640625,348.5260126559533,347.0338130464278,347.62878487613506,26457900
2020-12-28,351.4915771484375,351.8882250516541,350.4526893653069,351.08544681823656,39000400
2020-12-29,350.8210144042969,353.21989556195405,350.2260137120227,353.04044999374537,53680500
2020-12-30,351.32159423828125,352.3699357394344,350.9249462923084,351.652153407905,49455300
2020-12-31,353.1065979003906,353.84325862502686,350.60384215784245,351.1232716965331,78520700
2021-01-04,348.29937744140625,354.5893394130512,344.5499565743165,354.45710422838374,110210800
2021-01-05,350.6982421875,351.80324762008,347.6004858848247,347.64772509043775,66426200
2021-01-06,352.7948913574219,356.0343364100217,348.61103689124906,349.1682519915819,107997700
2021-01-07,358.0364990234375,358.7920379948028,355.02373909832835,355.20318464787135,68766800
2021-01-08,360.0765380859375,360.293740438384,356.14767148910244,359.4437517738404,71677200
2021-01-11,357.64935302734375,359.43432648129277,356.7332466955589,356.8560282898141,51034700
2021-01-12,357.72491455078125,358.7543489255794,355.4488145980365,357.83827136675353,52547700
2021-01-13,358.688232421875,359.69875950492474,356.85601980188494,357.6493445205451,45303600
2021-01-14,357.43212890625,359.9537919756121,357.09214493571363,359.4437871978365,49989100
2021-01-15,354.825439453125,356.60095903957983,352.9365630734373,355.7887560308579,107160000
2021-01-19,357.6115417480469,358.15933207970585,355.8171148166169,357.31876819290676,51233300
2021-01-20,362.56036376953125,363.4103523132514,359.5381502563439,359.93479812649673,61836100
2021-01-21,362.89093017578125,363.5615020596326,361.9559455668181,363.12703972931473,47840100
2021-01-22,361.6065673828125,362.7871153442211,360.6243434087685,361.0115665987471,52860500
2021-01-25,363.0326232910156,363.3914856062101,357.4320827097761,362.35262661585836,70402000
2021-01-26,362.46600341796875,364.41154411858565,362.2298938298165,363.99598893767995,42665300
2021-01-27,353.6071472167969,359.18878102614696,351.34050106211924,359.0943314317917,123351100
2021-01-28,356.64825439453125,360.7093277214667,355.00494090850157,355.44879925852365,94198100
2021-01-29,349.5083312988281,355.7416306047642,347.8083248579511,354.7594065826113,126765100
2021-02-01,355.3260192871094,356.37433192810187,349.8010496651537,352.9554700157922,75817600
2021-02-02,360.3504333496094,361.9276580426692,355.4110393288535,358.5560062866703,64450700
2021-02-03,360.63372802734375,362.3809444403856,359.33985232066993,361.19094309989845,52427100
2021-02-04,364.7326354980469,364.7798458850506,360.74710465234466,361.68208936199085,47142600
2021-02-05,366.16815185546875,366.88593416029556,364.68540568329496,366.63094620451324,48669800
2021-02-08,368.8125915527344,368.8598019366164,366.77260146678475,367.64146851959754,38365200
2021-02-09,368.5670471191406,369.17150146657843,367.5470664353014,367.9625927717028,35551100
2021-02-10,368.4065246582031,370.48430070234235,365.96988622641544,370.33318709713467,59154400
2021-02-11,369.00146484375,369.92702471533477,366.5364948173614,369.5020159691451,42913300
2021-02-12,370.8242492675781,371.0697836142709,368.1136872726587,368.18925847315506,50593300
2021-02-16,370.5031433105469,372.2692671884747,369.7759361763204,372.0709143884372,50972400
2021-02-17,370.588134765625,370.84312271447357,367.69812723550217,368.72759028026013,52290600
2021-02-18,369.0108947753906,369.76643380684663,366.19645856257875,367.9436749975332,59712800
2021-02-19,368.3592834472656,370.5787193037305,367.9059426695715,370.28594572500225,83241000
2021-02-22,365.52593994140625,367.97203158504686,365.2520447748612,365.5542719364303,67414200
2021-02-23,365.9698486328125,367.3392957242266,359.0754604325179,363.28764726534007,107284100
2021-02-24,370.0025939941406,370.43705637755505,363.86374485202833,364.8648471755998,72433900
2021-02-25,361.08709716796875,370.10650059110185,359.6232292725242,368.7181750810474,146670500
2021-02-26,359.2265319824219,364.15650097935514,357.21490264731347,362.9948603357244,152701600
2021-03-01,367.9342346191406,369.1998072163729,359.42486572744696,364.1659352874954,105348800
2021-03-02,365.06317138671875,368.39703727608014,364.5531666585479,368.1609277121821,79595300
2021-03-03,360.2276916503906,365.3370778103655,360.1237884434527,364.35488266860966,119940200
2021-03-04,355.7699279785156,362.66431621103095,351.21772834213556,360.03877882467367,183433000
2021-03-05,362.31488037109375,363.3821002932164,351.93551236972115,359.32099818975814,152039600
2021-03-08,360.5110168457031,366.13986147787006,360.2276968626301,363.2876679677055,123149200
2021-03-09,365.6582336425781,368.2459856754108,363.9015632040911,364.41156801809996,113633600
2021-03-10,367.9342346191406,369.65311912275575,366.60260207217345,368.03813781233174,109899400
2021-03-11,371.6648254394531,373.6670301445737,369.9742727104435,370.4370671042668,86245000
2021-03-12,372.1653747558594,372.3070347442927,369.4642949031594,370.28595165804404,64653600
2021-03-15,374.38482666015625,374.64926825719897,370.24818188915265,372.42037866329116,73427200
2021-03-16,373.9125671386719,375.7258725165567,373.12866721706916,375.00811901454654,73722500
2021-03-17,375.1875915527344,375.99979470656734,371.44759490093605,372.6092644578998,97959300
2021-03-18,369.7287292480469,374.67757689354085,369.03927888854525,372.56204424911056,115349100
2021-03-19,369.0446472167969,371.024984947732,366.8368822207117,369.42365410355114,113624500
2021-03-22,371.991455078125,373.39381236045875,369.50892672785767,369.565776314782,73778600
2021-03-23,369.06353759765625,372.81575442761164,368.26761456805167,371.34709209614505,90686600
2021-03-24,367.1873779296875,372.142977834356,367.14001292362576,370.4847977930826,97588600
2021-03-25,369.2530517578125,370.05843043165333,363.7573514900823,365.7282332813951,116128600
2021-03-26,375.2035827636719,375.6110144219351,369.8121255114941,370.41853071415125,114409100
2021-03-29,375.0140075683594,375.93311425956165,372.19983791932697,373.706409500838,108107600
2021-03-30,374.01910400390625,374.70132781246895,372.3988043858414,373.7253715643106,76262200
2021-03-31,375.53521728515625,377.1176079109007,374.56874538331874,374.5971701770089,112734200
2021-04-01,379.59063720703125,379.6475157086103,377.2881422569896,377.4966003748764,99682900
2021-04-05,385.0388488769531,385.5884332864741,382.2152237890385,382.29101357843945,91684800
2021-04-06,384.8114929199219,385.87272358644833,384.1292690748167,384.47039545555276,62021000
2021-04-07,385.25689697265625,385.6074790627877,384.1767259089098,384.6410071724492,55836300
2021-04-08,387.0856018066406,387.14245138976935,385.5790300209889,386.5265616282946,57863100
2021-04-09,389.899658203125,390.0702358191673,386.83915050997047,386.96233420963824,61104600
2021-04-12,390.0419006347656,390.31666396413743,388.6774528911601,389.29334261461736,56704900
2021-04-13,391.1978759765625,391.8327348611848,389.54918027327744,389.9376716927673,56551000
2021-04-14,389.8619079589844,392.2401927312513,389.3123234102263,391.16947734287845,61659900
2021-04-15,394.0499572753906,394.3247495327733,391.9843453513801,392.0317103642805,60229800
2021-04-16,395.3669738769531,395.9828635234013,393.91725194518733,395.3574893094131,82037300
2021-04-19,393.424560546875,394.8742826387559,392.0790819603542,394.41948600843574,78498500
2021-04-20,390.5441589355469,393.31093534479936,389.04704263558824,392.19285486320246,81851800
2021-04-21,394.23944091796875,394.4478990060897,389.7765467017933,389.9186995608864,66793000
2021-04-22,390.6387939453125,394.9121701853349,389.5586230915933,394.06888220228007,97582800
2021-04-23,394.87432861328125,396.3051106509382,391.1315959641291,391.20738577255065,73209200
2021-04-26,395.6986999511719,396.2767093255534,394.940686156583,395.5376357550988,52182400
2021-04-27,395.6133728027344,396.2008666690119,394.45738312452517,396.00186421846695,51303100
2021-04-28,395.4996643066406,397.0252051429718,395.02589853029906,395.88815571320487,51238900
2021-04-29,398.02008056640625,398.6454548279253,394.59002115449573,398.26644801025617,78544300
2021-04-30,395.40484619140625,396.5798048040181,394.49522413354856,395.7175477501586,85527000
2021-05-03,396.25775146484375,397.8116883495004,395.7555608420962,397.4231968992434,68128300
2021-05-04,393.8130187988281,394.74161003485153,390.0702869004626,394.2394195202307,101591200
2021-05-05,393.9363098144531,395.71767406212194,393.3677850031841,395.48079113379094,60162200
2021-05-06,397.0820007324219,397.21464009525135,391.9747924780197,394.0119792560227,74321400
2021-05-07,399.9720153808594,400.6352990359247,397.16733007456617,397.8590385196276,67733800
2021-05-10,396.0113525390625,400.55949257581585,395.8881688065207,400.33209424888895,81852400
2021-05-11,392.47705078125,393.4814319507402,388.5448004762039,391.4253045989301,116888000
2021-05-12,384.1387634277344,390.94203291536536,382.80274049219105,389.65340390643627,134811000
2021-05-13,388.7532043457031,390.71460139821215,385.66424254801444,385.71163647060126,106394000
2021-05-14,394.72265625,395.58491337776223,391.50105496018074,391.5294797482887,82201600
2021-05-17,393.7182922363281,394.5426689599001,391.671620654803,393.59513742677,65129200
2021-05-18,390.32611083984375,394.229935817365,390.16501776889936,393.98356838522614,59810200
2021-05-19,389.3028564453125,389.4828897798017,384.0630073539554,385.56960818812786,106467100
2021-05-20,393.49090576171875,394.7700791532081,390.0703307040507,390.19348551731457,78022200
2021-05-21,393.16876220703125,396.2577244589043,392.7044809788796,394.99749124482196,76578700
2021-05-24,397.1767883300781,398.2664437628936,395.196422064871,395.4427895060935,51376700
2021-05-25,396.29559326171875,398.6359973884671,395.7081283168972,398.2759307664491,57451400
2021-05-26,397.0820007324219,397.5936468815182,395.8407368804885,396.89248288110633,43088600
2021-05-27,397.29046630859375,398.6454293303709,397.0061895262494,398.1242986039535,56707700
2021-05-28,398.0011901855469,399.1476953503851,397.7643072802944,398.88238765315714,58520200
